label,start_time_s,window_s,window_clipped_to_next_step,effective_window_s,n_samples,fit_basis,T_start_c,T_end_c,delta_T_c,tau1_two_exp_s,tau2_two_exp_s,A1_two_exp_c,A2_two_exp_c,r2_two_exp,Q_ss_w,Q_baseline_w,delta_Q_w,R1_two_exp_c_per_w,R2_two_exp_c_per_w,C1_two_exp_j_per_c,C2_two_exp_j_per_c,R_thermal_c_per_w,cooling_type
geothermal @ t=254s,254.19452166557312,600.0,True,170.1,76,delta_T_vs_ambient,4.387999999999998,13.737999999999996,9.349999999999998,0.5077822489927061,27.989129525144914,-7.31195217634245,-2.565934133830321,0.8482182376095122,5.972285714285715,2.448441176470588,3.5238445378151275,2.074992837475187,0.7281632621118027,0.24471518157651387,38.43798634384749,2.8031560995869897,geothermal
geothermal @ t=429s,428.50902247428894,600.0,False,152.2,97,delta_T_vs_ambient,13.125,5.425000000000001,-7.699999999999999,4.198816167353515,140.20094895105373,8.797853518215625,0.19591978683994854,0.7520976507894234,2.409222222222222,6.011416666666666,-3.6021944444444443,2.4423594156013118,0.054389009216898244,1.719163911966561,2577.744124588583,2.49674842481821,geothermal
