label,start_time_s,window_s,window_clipped_to_next_step,effective_window_s,n_samples,fit_basis,T_start_c,T_end_c,delta_T_c,tau_nonlinear_s,r2_nonlinear,tau_linearized_s,r2_linearized,chosen_model,delta_aic,residual_runs,residual_runs_z,residual_flagged_nonrandom,tau1_two_exp_s,tau2_two_exp_s,A1_two_exp_c,A2_two_exp_c,r2_two_exp,Q_ss_w,Q_baseline_w,delta_Q_w,R_thermal_c_per_w,C_thermal_j_per_c,R1_two_exp_c_per_w,R2_two_exp_c_per_w,C1_two_exp_j_per_c,C2_two_exp_j_per_c,cooling_type
fan @ t=116s,116.23827695846558,600.0,True,421.2,175,delta_T_vs_ambient,13.399999999999999,43.513000000000005,30.113000000000007,34.07876604028604,0.9208191472068487,26.617342820553635,0.6938331732904878,two_exponential,182.86,36,-7.96,True,8.054284954729319,81.42334124947241,-19.69474539103993,-12.510585720582133,0.9728135388661715,5.255176470588236,1.74821875,3.5069577205882356,8.586644721496397,3.968810536084126,5.615906138650698,3.567361433283457,1.434191518853354,22.82452809232987,fan
fan @ t=540s,539.9485366344452,600.0,False,400.7,218,delta_T_vs_ambient,42.475,13.875,-28.6,30.116777139948198,0.9207434430730668,325.5726142480031,0.07163722369261882,two_exponential,281.8,52,-7.85,True,8.768058474964247,81.0916585127164,20.708542703125342,10.554974010382729,0.9786528642655778,1.7638095238095237,5.284458333333333,-3.5206488095238093,8.123502668778922,3.7073634819738635,5.88202454249514,2.9980195644138554,1.4906531605944064,27.04840871462781,fan
